,country,lat,lon,date,year,month,day,institute,platform,cruise_number,instrument,model,manufacturer,max_depth,imeta_applied,id
0,UNITED STATES,-59.66799926757813,-63.45899963378906,20120101,2012,1,1,0,LAURENCE M. GOULD (R/V; call sign WCX7445; built 12.1997;IMO9137337),US034283,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,903.7496948242188,0,15249264
1,FRANCE,-59.26919937133789,145.47979736328125,20120101,2012,1,1,0,L'ASTROLABE (Call sign FHZI; built 03.1986; IMO 8418198)!,FR015629,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,1084.7176513671875,0,15249263
2,UNITED STATES,-59.83399963378906,-63.40299987792969,20120101,2012,1,1,0,LAURENCE M. GOULD (R/V; call sign WCX7445; built 12.1997;IMO9137337),US034283,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,898.9080810546875,0,15249265
3,UNITED STATES,-60.0,-63.34700012207031,20120101,2012,1,1,0,LAURENCE M. GOULD (R/V; call sign WCX7445; built 12.1997;IMO9137337),US034283,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,892.9691162109375,0,15249267
4,FRANCE,-58.95309829711914,145.50540161132812,20120101,2012,1,1,0,L'ASTROLABE (Call sign FHZI; built 03.1986; IMO 8418198)!,FR015629,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,1084.7318115234375,0,15249266
5,UNKNOWN,-15.437999725341797,-177.95899963378906,20120101,2012,1,1,0,JPO SCORPIUS (Container Ship; call sign A8KC6; built 2007; IMO9307279),99010461,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,866.4286499023438,0,15249268
6,UNITED STATES,-60.165000915527344,-63.28799819946289,20120101,2012,1,1,0,LAURENCE M. GOULD (R/V; call sign WCX7445; built 12.1997;IMO9137337),US034283,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,921.1004028320312,0,15249269
7,UNITED STATES,-60.33700180053711,-63.22700119018555,20120101,2012,1,1,0,LAURENCE M. GOULD (R/V; call sign WCX7445; built 12.1997;IMO9137337),US034283,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,895.349365234375,0,15249271
8,FRANCE,-58.53879928588867,145.57650756835938,20120101,2012,1,1,0,L'ASTROLABE (Call sign FHZI; built 03.1986; IMO 8418198)!,FR015629,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,1084.7291259765625,0,15249270
9,UNITED STATES,-60.49599838256836,-63.17200088500977,20120101,2012,1,1,0,LAURENCE M. GOULD (R/V; call sign WCX7445; built 12.1997;IMO9137337),US034283,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,895.3508911132812,0,15249272
10,UNKNOWN,-14.593999862670898,-177.06199645996094,20120101,2012,1,1,0,JPO SCORPIUS (Container Ship; call sign A8KC6; built 2007; IMO9307279),99010461,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,907.3399658203124,0,15249273
