,country,lat,lon,date,year,month,day,institute,platform,cruise_number,instrument,model,manufacturer,max_depth,imeta_applied,id
0,UNITED STATES,-58.80500030517578,-62.946998596191406,20150101,2015,1,1,0,LAURENCE M. GOULD (R/V; call sign WCX7445; built 12.1997;IMO9137337),US036605,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,909.5184326171876,0,16686054
1,LIBERIA,-13.329999923706056,-173.87600708007812,20150101,2015,1,1,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.477294921875,0,16686053
2,AUSTRALIA,-7.599999904632567,105.3332977294922,20150101,2015,1,1,0,SWAN RIVER BRIDGE (Cont.ship; call sign 9V8218; built 2010; IMO9550395),AU005267,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,984.2385864257812,0,16623889
3,UNITED STATES,-59.00699996948242,-62.8390007019043,20150101,2015,1,1,0,LAURENCE M. GOULD (R/V; call sign WCX7445; built 12.1997;IMO9137337),US036605,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,855.7445068359375,0,16686055
4,UNITED STATES,-58.9010009765625,-62.9000015258789,20150101,2015,1,1,0,LAURENCE M. GOULD (R/V; call sign WCX7445; built 12.1997;IMO9137337),US036605,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,905.9378662109376,0,16686056
5,UNITED STATES,-59.10200119018555,-62.696998596191406,20150101,2015,1,1,0,LAURENCE M. GOULD (R/V; call sign WCX7445; built 12.1997;IMO9137337),US036605,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,707.967529296875,0,16686058
6,LIBERIA,-12.998000144958494,-173.7310028076172,20150101,2015,1,1,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.4677734375,0,16686057
7,UNITED STATES,-59.20000076293945,-62.64400100708008,20150101,2015,1,1,0,LAURENCE M. GOULD (R/V; call sign WCX7445; built 12.1997;IMO9137337),US036605,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,896.867431640625,0,16686060
8,UNITED STATES,-59.29999923706055,-62.59500122070313,20150101,2015,1,1,0,LAURENCE M. GOULD (R/V; call sign WCX7445; built 12.1997;IMO9137337),US036605,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,904.749267578125,0,16686061
9,UNKNOWN,39.31669998168945,13.566699981689451,20150101,2015,1,1,0,0,0,XBT: T7 (SIPPICAN),T7,SIPPICAN,772.9307250976562,0,17525504
10,LIBERIA,-12.664999961853027,-173.57699584960938,20150101,2015,1,1,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.4756469726562,0,16686059
11,UNITED STATES,-59.39799880981445,-62.54999923706055,20150101,2015,1,1,0,LAURENCE M. GOULD (R/V; call sign WCX7445; built 12.1997;IMO9137337),US036605,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,777.241455078125,0,16686062
12,UNITED STATES,-59.49599838256836,-62.50600051879883,20150101,2015,1,1,0,LAURENCE M. GOULD (R/V; call sign WCX7445; built 12.1997;IMO9137337),US036605,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,907.7308959960938,0,16686063
13,UNITED STATES,-59.66799926757813,-62.43199920654297,20150101,2015,1,1,0,LAURENCE M. GOULD (R/V; call sign WCX7445; built 12.1997;IMO9137337),US036605,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,895.6598510742188,0,16686065
14,LIBERIA,-12.32699966430664,-173.4250030517578,20150101,2015,1,1,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.4354248046876,0,16686064
