,country,lat,lon,date,year,month,day,institute,platform,cruise_number,instrument,model,manufacturer,max_depth,imeta_applied,id
15,UNITED STATES,-59.83300018310547,-62.36100006103516,20150101,2015,1,1,0,LAURENCE M. GOULD (R/V; call sign WCX7445; built 12.1997;IMO9137337),US036605,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,888.377197265625,0,16686067
16,LIBERIA,-11.998000144958494,-173.27499389648438,20150101,2015,1,1,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.4436645507812,0,16686066
17,UNITED STATES,-60.02399826049805,-62.26100158691406,20150101,2015,1,1,0,LAURENCE M. GOULD (R/V; call sign WCX7445; built 12.1997;IMO9137337),US036605,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,895.662841796875,0,16686068
18,UNITED STATES,-60.17399978637695,-62.17499923706055,20150101,2015,1,1,0,LAURENCE M. GOULD (R/V; call sign WCX7445; built 12.1997;IMO9137337),US036605,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,921.0299072265624,0,16686070
19,LIBERIA,-11.663999557495115,-173.1219940185547,20150101,2015,1,1,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.4329223632812,0,16686069
20,UNITED STATES,-60.38299942016602,-62.04999923706055,20150101,2015,1,1,0,LAURENCE M. GOULD (R/V; call sign WCX7445; built 12.1997;IMO9137337),US036605,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,892.6712646484375,0,16686072
21,UNITED STATES,-60.38299942016602,-62.04999923706055,20150101,2015,1,1,0,LAURENCE M. GOULD (R/V; call sign WCX7445; built 12.1997;IMO9137337),US036605,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,911.9454956054688,0,16686073
22,LIBERIA,-11.331000328063965,-172.9720001220703,20150101,2015,1,1,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.42236328125,0,16686071
23,UNKNOWN,38.79999923706055,11.25,20150101,2015,1,1,0,0,0,XBT: T7 (SIPPICAN),T7,SIPPICAN,772.9435424804688,0,17525505
24,LIBERIA,-10.998000144958496,-172.8179931640625,20150101,2015,1,1,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.39990234375,0,16686074
25,UNITED STATES,-60.69900131225586,-61.86399841308594,20150101,2015,1,1,0,LAURENCE M. GOULD (R/V; call sign WCX7445; built 12.1997;IMO9137337),US036605,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,916.7420654296876,0,16686075
26,UNITED STATES,-60.83300018310547,-61.79100036621094,20150101,2015,1,1,0,LAURENCE M. GOULD (R/V; call sign WCX7445; built 12.1997;IMO9137337),US036605,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,933.6328125,0,16686077
27,LIBERIA,-10.664999961853027,-172.6699981689453,20150101,2015,1,1,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.4166259765624,0,16686076
28,UNITED STATES,-61.0,-61.68099975585938,20150101,2015,1,1,0,LAURENCE M. GOULD (R/V; call sign WCX7445; built 12.1997;IMO9137337),US036605,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,922.2417602539062,0,16686079
29,LIBERIA,-10.331000328063965,-172.52499389648438,20150101,2015,1,1,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.39794921875,0,16686078
30,UNITED STATES,-61.14799880981445,-61.60300064086914,20150101,2015,1,1,0,LAURENCE M. GOULD (R/V; call sign WCX7445; built 12.1997;IMO9137337),US036605,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,939.0394897460938,0,16686080
31,UNKNOWN,38.59999847412109,10.183300018310549,20150101,2015,1,1,0,0,0,XBT: T7 (SIPPICAN),T7,SIPPICAN,772.9212036132812,0,17525506
32,UNKNOWN,43.150001525878906,-44.0,20150101,2015,1,1,0,0,0,XBT: T7 (SIPPICAN),T7,SIPPICAN,770.96044921875,0,17525507
33,LIBERIA,-9.998000144958496,-172.3679962158203,20150101,2015,1,1,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.4121704101562,0,16686081
34,UNITED STATES,-61.49800109863281,-61.39300155639648,20150101,2015,1,1,0,LAURENCE M. GOULD (R/V; call sign WCX7445; built 12.1997;IMO9137337),US036605,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,930.04052734375,0,16686083
35,UNITED STATES,-61.34700012207031,-61.48300170898438,20150101,2015,1,1,0,LAURENCE M. GOULD (R/V; call sign WCX7445; built 12.1997;IMO9137337),US036605,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,952.8464965820312,0,16686084
36,LIBERIA,-9.65999984741211,-172.22000122070312,20150101,2015,1,1,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.4019775390624,0,16686082
37,UNITED STATES,-61.66600036621094,-61.290000915527344,20150101,2015,1,1,0,LAURENCE M. GOULD (R/V; call sign WCX7445; built 12.1997;IMO9137337),US036605,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,934.8408813476562,0,16686085
38,UNITED STATES,-61.83200073242188,-61.18600082397461,20150101,2015,1,1,0,LAURENCE M. GOULD (R/V; call sign WCX7445; built 12.1997;IMO9137337),US036605,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,931.2391357421876,0,16686087
39,UNKNOWN,43.06669998168945,-42.86669921875,20150101,2015,1,1,0,0,0,XBT: T7 (SIPPICAN),T7,SIPPICAN,770.9207763671875,0,17525508
40,LIBERIA,-9.331000328063965,-172.0679931640625,20150101,2015,1,1,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.3831787109376,0,16686086
41,UNITED STATES,-62.00199890136719,-61.07699966430664,20150101,2015,1,1,0,LAURENCE M. GOULD (R/V; call sign WCX7445; built 12.1997;IMO9137337),US036605,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,929.4410400390624,0,16686089
42,LIBERIA,-8.994000434875488,-171.91900634765625,20150101,2015,1,1,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.378662109375,0,16686088
43,UNITED STATES,-62.1150016784668,-61.01599884033203,20150101,2015,1,1,0,LAURENCE M. GOULD (R/V; call sign WCX7445; built 12.1997;IMO9137337),US036605,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,917.3472900390624,0,16686090
44,UNKNOWN,38.28329849243164,8.399999618530272,20150101,2015,1,1,0,0,0,XBT: T7 (SIPPICAN),T7,SIPPICAN,772.9391479492188,0,17525509
45,UNITED STATES,-62.2130012512207,-60.95299911499024,20150101,2015,1,1,0,LAURENCE M. GOULD (R/V; call sign WCX7445; built 12.1997;IMO9137337),US036605,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,987.0645141601562,0,16686092
46,UNITED STATES,-62.30699920654297,-60.88999938964844,20150101,2015,1,1,0,LAURENCE M. GOULD (R/V; call sign WCX7445; built 12.1997;IMO9137337),US036605,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,688.2619018554688,0,16686093
47,LIBERIA,-8.664999961853027,-171.7740020751953,20150101,2015,1,1,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.3682861328124,0,16686091
48,UNITED STATES,-62.4020004272461,-60.83599853515625,20150101,2015,1,1,0,LAURENCE M. GOULD (R/V; call sign WCX7445; built 12.1997;IMO9137337),US036605,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,444.9095153808594,0,16686095
49,LIBERIA,-8.331000328063965,-171.6280059814453,20150101,2015,1,1,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.370849609375,0,16686094
50,LIBERIA,-7.997000217437744,-171.47799682617188,20150101,2015,1,1,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.3680419921876,0,16686096
51,UNKNOWN,38.266700744628906,6.966700077056885,20150102,2015,1,2,0,0,0,XBT: T7 (SIPPICAN),T7,SIPPICAN,772.96435546875,0,17525510
52,LIBERIA,-7.664000034332275,-171.33799743652344,20150102,2015,1,2,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.3563232421876,0,16686097
53,LIBERIA,-7.330999851226807,-171.18600463867188,20150102,2015,1,2,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.3624877929688,0,16686098
54,LIBERIA,-7.302999973297119,-171.1719970703125,20150102,2015,1,2,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.37548828125,0,16686099
55,UNKNOWN,42.84999847412109,-42.84999847412109,20150102,2015,1,2,0,0,0,XBT: T7 (SIPPICAN),T7,SIPPICAN,49.16851425170898,0,17525511
56,LIBERIA,-6.998000144958496,-171.03399658203125,20150102,2015,1,2,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.3666381835938,0,16686100
57,LIBERIA,-6.664999961853027,-170.88999938964844,20150102,2015,1,2,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.36962890625,0,16686101
58,UNKNOWN,38.08330154418945,5.5,20150102,2015,1,2,0,0,0,XBT: T7 (SIPPICAN),T7,SIPPICAN,772.9630737304688,0,17525512
59,LIBERIA,-6.330999851226808,-170.73300170898438,20150102,2015,1,2,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.3825073242188,0,16686102
60,LIBERIA,-5.997000217437744,-170.58299255371094,20150102,2015,1,2,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.38671875,0,16686103
61,LIBERIA,-5.664999961853027,-170.43699645996094,20150102,2015,1,2,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.3782348632812,0,16686104
62,LIBERIA,-5.330999851226807,-170.2969970703125,20150102,2015,1,2,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.3793334960938,0,16686105
63,UNKNOWN,43.54999923706055,-63.03329849243164,20150102,2015,1,2,0,0,0,XBT: T7 (SIPPICAN),T7,SIPPICAN,216.4227600097656,0,17525513
64,LIBERIA,-4.998000144958496,-170.14700317382812,20150102,2015,1,2,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.3779907226562,0,16686106
65,LIBERIA,-4.747000217437744,-170.03599548339844,20150102,2015,1,2,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.3692626953124,0,16686107
66,UNKNOWN,37.84999847412109,3.0833001136779785,20150102,2015,1,2,0,0,0,XBT: T7 (SIPPICAN),T7,SIPPICAN,772.9454345703125,0,17525514
67,LIBERIA,-4.498000144958496,-169.9290008544922,20150102,2015,1,2,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.3721313476562,0,16686108
68,LIBERIA,-4.248000144958496,-169.81700134277344,20150102,2015,1,2,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.3710327148438,0,16686109
69,UNKNOWN,41.18330001831055,-35.016700744628906,20150102,2015,1,2,0,0,0,XBT: T7 (SIPPICAN),T7,SIPPICAN,770.9044189453125,0,17525515
70,LIBERIA,-3.997999906539917,-169.69900512695312,20150102,2015,1,2,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.380126953125,0,16686110
71,UNKNOWN,37.38330078125,1.6833000183105469,20150102,2015,1,2,0,0,0,XBT: T7 (SIPPICAN),T7,SIPPICAN,772.947509765625,0,17525516
72,LIBERIA,-3.747999906539917,-169.5919952392578,20150102,2015,1,2,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.3855590820312,0,16686111
73,LIBERIA,-3.497999906539917,-169.48399353027344,20150102,2015,1,2,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.3917846679688,0,16686112
74,LIBERIA,-3.247999906539917,-169.3730010986328,20150102,2015,1,2,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.392822265625,0,16686113
75,UNKNOWN,41.150001525878906,-33.09999847412109,20150102,2015,1,2,0,0,0,XBT: T7 (SIPPICAN),T7,SIPPICAN,770.8950805664062,0,17525517
76,LIBERIA,-2.997999906539917,-169.26199340820312,20150102,2015,1,2,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.3736572265624,0,16686114
77,LIBERIA,-2.746999979019165,-169.1479949951172,20150102,2015,1,2,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.4133911132812,0,16686115
78,LIBERIA,-2.497999906539917,-169.04100036621094,20150102,2015,1,2,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.400634765625,0,16686116
79,LIBERIA,-2.247999906539917,-168.93299865722656,20150103,2015,1,3,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.39990234375,0,16686117
80,LIBERIA,-1.9980000257492063,-168.82000732421875,20150103,2015,1,3,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.40869140625,0,16686118
81,UNKNOWN,41.766700744628906,-32.450000762939446,20150103,2015,1,3,0,0,0,XBT: T7 (SIPPICAN),T7,SIPPICAN,49.16874694824219,0,17525518
82,LIBERIA,-1.9839999675750728,-168.81399536132812,20150103,2015,1,3,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.411376953125,0,16686119
83,LIBERIA,-1.7979999780654907,-168.73699951171875,20150103,2015,1,3,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.425537109375,0,16686120
84,LIBERIA,-1.5980000495910645,-168.6439971923828,20150103,2015,1,3,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.419921875,0,16686121
85,LIBERIA,-1.3980000019073486,-168.5540008544922,20150103,2015,1,3,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.4285888671876,0,16686122
86,UNKNOWN,36.34999847412109,-1.266700029373169,20150103,2015,1,3,0,0,0,XBT: T7 (SIPPICAN),T7,SIPPICAN,772.9417724609375,0,17525519
87,LIBERIA,-1.1970000267028809,-168.46600341796875,20150103,2015,1,3,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.4259643554688,0,16686123
88,LIBERIA,-0.996999979019165,-168.37899780273438,20150103,2015,1,3,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.441162109375,0,16686124
89,FRANCE,-65.91539764404297,140.4696044921875,20150103,2015,1,3,0,L'ASTROLABE (Call sign FHZI; built 03.1986; IMO 8418198)!,FR016205,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,1087.3212890625,0,17448558
90,FRANCE,-65.89949798583984,140.47470092773438,20150103,2015,1,3,0,L'ASTROLABE (Call sign FHZI; built 03.1986; IMO 8418198)!,FR016205,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,1087.3072509765625,0,17448559
91,FRANCE,-65.88649749755861,140.47929382324222,20150103,2015,1,3,0,L'ASTROLABE (Call sign FHZI; built 03.1986; IMO 8418198)!,FR016205,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,75.45671081542969,0,17448560
92,FRANCE,-65.87670135498047,140.481201171875,20150103,2015,1,3,0,L'ASTROLABE (Call sign FHZI; built 03.1986; IMO 8418198)!,FR016205,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,1087.2901611328125,0,17448561
93,FRANCE,-65.85810089111328,140.4844970703125,20150103,2015,1,3,0,L'ASTROLABE (Call sign FHZI; built 03.1986; IMO 8418198)!,FR016205,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,1087.2725830078125,0,17448562
94,LIBERIA,-0.8309999704360962,-168.30499267578125,20150103,2015,1,3,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.4483032226562,0,16686125
95,LIBERIA,-0.6639999747276306,-168.23199462890625,20150103,2015,1,3,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.4498901367188,0,16686126
96,LIBERIA,-0.4979999959468842,-168.15699768066406,20150103,2015,1,3,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.4536743164062,0,16686127
97,FRANCE,-65.53330230712889,140.64549255371094,20150103,2015,1,3,0,L'ASTROLABE (Call sign FHZI; built 03.1986; IMO 8418198)!,FR016205,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,997.8638305664062,0,17448563
98,LIBERIA,-0.3310000002384186,-168.0850067138672,20150103,2015,1,3,SCRIPPS INSTITUTION OF OCEANOGRAPHY; LA JOLLA; CA,E. R. WILHELMSHAVEN (Call sign ELZY3),LR000315,XBT: DEEP BLUE (SIPPICAN),DEEP BLUE,SIPPICAN,985.4629516601562,0,16686128
99,UNKNOWN,36.150001525878906,-2.916699886322021,20150103,2015,1,3,0,0,0,XBT: T7 (SIPPICAN),T7,SIPPICAN,772.9456176757812,0,17525520
